word,cefr
auftrag,A1
wichtige,A1
georg,A1
arbeiten,A1
institut,A1
entsprechend,A1
vertreten,A1
rechts,A1
zunehmend,A1
liste,A1
tagen,A1
text,A1
schiffe,A1
1960er,A1
bildung,A1
bestimmt,A1
grenze,A1
jedes,A1
bilder,A1
friedhof,A1
daran,A1
südlich,A1
unten,A1
erhält,A1
studierte,A1
studien,A1
22,A1
nahmen,A1
völlig,A1
franz,A1
kurz,A1
nördlich,A1
entdeckt,A1
darf,A1
nutzung,A1
gleichzeitig,A1
enthalten,A1
dahin,A1
produziert,A1
bücher,A1
modell,A1
daraufhin,A1
eingeführt,A1
abgeschlossen,A1
sieg,A1
besser,A1
staat,A1
1962,A1
druck,A1
söhne,A1
anschluss,A1
theater,A1
männchen,A1
schutz,A1
leitete,A1
1967,A1
preis,A1
tor,A1
300,A1
offiziell,A1
sogenannte,A1
wappen,A1
professor,A1
winter,A1
wirkte,A1
veröffentlichung,A1
70,A1
zustand,A1
elf,A1
ersten,A1
programm,A1
kraft,A1
verhältnis,A1
lief,A1
erde,A1
1977,A1
ag,A1
breite,A1
freund,A1
kurze,A1
spitze,A1
angegeben,A1
ich,A1
ursprünglichen,A1
her,A1
einwohnern,A1
aufgelöst,A1
verläuft,A1
deutscher,A1
höchste,A1
1963,A1
außer,A1
beziehung,A1
1942,A1
1961,A1
unterschiedliche,A1
zugleich,A1
1940,A1
19,A1
meisterschaft,A1
1964,A1
belegt,A1
wir,A1
durchmesser,A1
einfach,A1
beschäftigt,A1
bestimmten,A1
verantwortlich,A1
vertreter,A1
weiteren,A1
geplant,A1
ausstellung,A1
medien,A1
standort,A1
1930,A1
1966,A1
gespielt,A1
hergestellt,A1
zählt,A1
straßen,A1
links,A1
älteste,A1
autor,A1
gehörten,A1
gesehen,A1
21,A1
angelegt,A1
wirtschaft,A1
gezeigt,A1
1000,A1
lehrer,A1
recht,A1
single,A1
kleinere,A1
1949,A1
china,A1
verstarb,A1
einführung,A1
nahezu,A1
untersuchungen,A1
ortes,A1
1943,A1
1948,A1
wald,A1
stiftung,A1
siehe,A1
1958,A1
1956,A1
robert,A1
besitzen,A1
wodurch,A1
bürger,A1
praxis,A1
besaß,A1
laut,A1
genannten,A1
unteren,A1
gelten,A1
ausland,A1
erzählt,A1
rechten,A1
monaten,A1
fällt,A1
1934,A1
bewegung,A1
wirkung,A1
neue,A1
sofort,A1
spricht,A1
dienen,A1
erstes,A1
getötet,A1
1920,A1
des,A1
begannen,A1
namens,A1
wesentlich,A1
internationale,A1
spielzeit,A1
abteilung,A1
japan,A1
anna,A1
startete,A1
b,A1
dennoch,A1
einzelne,A1
1959,A1
ebene,A1
gebildet,A1
1952,A1
natur,A1
umbenannt,A1
1941,A1
hektar,A1
linken,A1
1954,A1
ergebnisse,A1
kaiser,A1
millimeter,A1
gott,A1
grundlage,A1
begonnen,A1
beiträge,A1
mittlerweile,A1
trifft,A1
miteinander,A1
lebens,A1
zürich,A1
formen,A1
1947,A1
eingerichtet,A1
jeden,A1
90,A1
reich,A1
westlichen,A1
angriff,A1
kreis,A1
1955,A1
dresden,A1
kontakt,A1
macht,A1
übrigen,A1
1957,A1
aufbau,A1
entweder,A1
ausgezeichnet,A1
amerikanischen,A1
kurzen,A1
zuerst,A1
1919,A1
bestimmte,A1
ähnlich,A1
schließlich,A1
sinne,A1
tonnen,A1
ausgetragen,A1
1918,A1
zugang,A1
gar,A1
la,A1
1935,A1
entscheidung,A1
und,A1
entschied,A1
teams,A1
direktor,A1
öffentliche,A1
augen,A1
großbritannien,A1
schweizer,A1
einwohnerzahl,A1
figuren,A1
gesetz,A1
benutzt,A1
südlichen,A1
z,A1
älteren,A1
gattung,A1
1937,A1
erklärte,A1
modernen,A1
1936,A1
hintergrund,A1
geschaffen,A1
versehen,A1
23,A1
fragen,A1
vereins,A1
seitdem,A1
französische,A1
ausgestattet,A1
aufgebaut,A1
geschrieben,A1
ddr,A1
historische,A1
quelle,A1
2021,A1
gesetzt,A1
übertragen,A1
main,A1
zug,A1
bildete,A1
bringt,A1
35,A1
fällen,A1
provinz,A1
versuch,A1
teils,A1
1953,A1
fluss,A1
zusätzlich,A1
alt,A1
400,A1
unterscheiden,A1
1951,A1
gemeinsamen,A1
1914,A1
bad,A1
verbreitet,A1
per,A1
zeitraum,A1
leistungen,A1
hieß,A1
rat,A1
besondere,A1
hinzu,A1
neubau,A1
1929,A1
dann,A1
bislang,A1
jugend,A1
komplett,A1
polen,A1
punkt,A1
städte,A1
szene,A1
150,A1
starken,A1
1950er,A1
großteil,A1
untersuchung,A1
